xv6...
cpu0: starting 0
sb: size 1000 nblocks 941 ninodes 200 nlog 30 logstart 2 inodestart 32 bmap start 58
init: starting sh
$ sanity 20
pid: 4, type: CPU_BOUND, retime: 5, rutime: 1, stime: 0
pid: 7, type: CPU_BOUND, retime: 2, rutime: 1, stime: 0
pid: 10, type: CPU_BOUND, retime: 10, rutime: 1, stime: 0
pid: 13, type: CPU_BOUND, retime: 7, rutime: 1, stime: 0
pid: 16, type: CPU_BOUND, retime: 4, rutime: 1, stime: 0
pid: 19, type: CPU_BOUND, retime: 1, rutime: 1, stime: 0
pid: 22, type: CPU_BOUND, retime: 10, rutime: 1, stime: 0
pid: 25, type: CPU_BOUND, retime: 7, rutime: 1, stime: 0
pid: 28, type: CPU_BOUND, retime: 4, rutime: 1, stime: 0
pid: 31, type: CPU_BOUND, retime: 1, rutime: 1, stime: 0
pid: 5, type: S_BOUND, retime: 111, rutime: 21, stime: 0
pid: 8, type: S_BOUND, retime: 121, rutime: 21, stime: 0
pid: 11, type: S_BOUND, retime: 112, rutime: 21, stime: 0
pid: 14, type: S_BOUND, retime: 122, rutime: 21, stime: 0
pid: 17, type: S_BOUND, retime: 134, rutime: 21, stime: 0
pid: 61, type: CPU_BOUND, retime: 66, rutime: 1, stime: 0
pid: 58, type: CPU_BOUND, retime: 74, rutime: 1, stime: 0
pid: 34, type: CPU_BOUND, retime: 103, rutime: 1, stime: 0
pid: 37, type: CPU_BOUND, retime: 106, rutime: 1, stime: 0
pid: 40, type: CPU_BOUND, retime: 109, rutime: 1, stime: 0
pid: 43, type: CPU_BOUND, retime: 111, rutime: 1, stime: 0
pid: 46, type: CPU_BOUND, retime: 114, rutime: 1, stime: 0
pid: 49, type: CPU_BOUND, retime: 117, rutime: 1, stime: 0
pid: 52, type: CPU_BOUND, retime: 120, rutime: 1, stime: 0
pid: 55, type: CPU_BOUND, retime: 157, rutime: 2, stime: 0
pid: 20, type: S_BOUND, retime: 229, rutime: 21, stime: 0
pid: 23, type: S_BOUND, retime: 280, rutime: 21, stime: 0
pid: 26, type: S_BOUND, retime: 295, rutime: 21, stime: 0
pid: 29, type: S_BOUND, retime: 342, rutime: 21, stime: 0
pid: 32, type: S_BOUND, retime: 336, rutime: 21, stime: 0
pid: 35, type: S_BOUND, retime: 383, rutime: 21, stime: 0
pid: 38, type: S_BOUND, retime: 399, rutime: 21, stime: 0
pid: 41, type: S_BOUND, retime: 443, rutime: 22, stime: 0
pid: 44, type: S_BOUND, retime: 457, rutime: 21, stime: 0
pid: 47, type: S_BOUND, retime: 498, rutime: 21, stime: 0
pid: 50, type: S_BOUND, retime: 512, rutime: 21, stime: 0
pid: 53, type: S_BOUND, retime: 543, rutime: 22, stime: 0
pid: 56, type: S_BOUND, retime: 562, rutime: 21, stime: 0
pid: 59, type: S_BOUND, retime: 596, rutime: 21, stime: 0
pid: 62, type: S_BOUND, retime: 607, rutime: 21, stime: 0
pid: 6, type: IO_BOUND, retime: 215, rutime: 101, stime: 383157
pid: 9, type: IO_BOUND, retime: 311, rutime: 101, stime: 385072
pid: 12, type: IO_BOUND, retime: 410, rutime: 101, stime: 384975
pid: 15, type: IO_BOUND, retime: 508, rutime: 101, stime: 384878
pid: 18, type: IO_BOUND, retime: 606, rutime: 101, stime: 384781
pid: 21, type: IO_BOUND, retime: 708, rutime: 101, stime: 384652
pid: 24, type: IO_BOUND, retime: 810, rutime: 101, stime: 384551
pid: 27, type: IO_BOUND, retime: 912, rutime: 101, stime: 384450
pid: 30, type: IO_BOUND, retime: 1015, rutime: 101, stime: 384348
pid: 63, type: IO_BOUND, retime: 2174, rutime: 101, stime: 383175
pid: 33, type: IO_BOUND, retime: 1121, rutime: 101, stime: 384233
pid: 36, type: IO_BOUND, retime: 1229, rutime: 101, stime: 384126
pid: 39, type: IO_BOUND, retime: 1337, rutime: 101, stime: 384019
pid: 42, type: IO_BOUND, retime: 1445, rutime: 101, stime: 383911
pid: 45, type: IO_BOUND, retime: 1554, rutime: 101, stime: 383803
pid: 48, type: IO_BOUND, retime: 1664, rutime: 101, stime: 383694
pid: 51, type: IO_BOUND, retime: 1774, rutime: 101, stime: 383585
pid: 54, type: IO_BOUND, retime: 1885, rutime: 101, stime: 383474
pid: 57, type: IO_BOUND, retime: 1993, rutime: 101, stime: 383367
pid: 60, type: IO_BOUND, retime: 2049, rutime: 101, stime: 383312
Process averages
type: CPU_BOUND, retime: 18, rutime: 0, turnaround: 19
type: S_BOUND, retime: 118, rutime: 7, turnaround: 125
type: IO_BOUND, retime: 395, rutime: 33, turnaround: 128455
$ 
